Word,Meaning,synonym,Antonym,Usage
Dirge,"a song or hymn of grief or lamentation, especially one intended to accompany funeral or memorial rites","lament, chant, requiem, elegy, coronach, threnody",joy,"That was the saddest dirge I’d ever heard.
The funeral dirge was extremely moving."
Voracious,"eating or wanting large amounts of food
wanting a lot of new information and knowledge","greedy, rapacious, avid","unenthusiastic, apathetic","A voracious reader, thumbing through two paperbacks daily, the journalist could still write a competent review on each of them."
Crescendo,"a gradual increase in how loudly a piece of music is played or sung
a gradual increase in noise; the loudest point of a period of continuous noise","peak, crest, pinnacle, swell",diminuendo,The conflicts between the couple reached a crescendo and their marriage culminated in divorce.
Vertigo,"the feeling of dizziness and fear, and of losing your balance, that is caused in some people when they look down from a very high place","giddiness, stupor","serene, tranquil, harmonious, placidity",A lot of people complain of vertigo after visiting the Empire State Building observation tower.
Flag,"to become tired, weaker, or less enthusiastic
to put a special mark next to information that you think is important","fade, sag, faint, sink, weaken","rise, increase",There are certain mothers who will never permit their children’s spirit to flag.
Gauche,awkward when dealing with people and often saying or doing the wrong thing,"graceless, awkward, rustic, clumsy","suave, urbane, graceful","In the movie My Fair Lady, an English professor succeeds in imparting social grace and polish to a gauche, young flower girl."
Vindicate,show to be right by providing justification or proof,"justify, exonerate, acquit,","refute, charge, accuse",The curing of disease by meditation vindicates the claim that the mind plays a significant role in reactions of the body.
Premonition,"a feeling that something is going to happen, especially something unpleasant","warning, omen, presage, suspicion, feeling, intuition","unsuspecting, ignorance","I had a premonition that I would never see her again.
Reetu had a premonition that there might be an accident, and did not get on the boat."
Anarchy,"a situation in a country, an organization, etc. in which there is no government, order, or control",lawlessness,"order, rule, lawfulness","That country has been plagued by anarchy for long.
The company had no control over its operation and all I could see was anarchy everywhere."
Forestall,prevent by taking action in advance,"foreclose, preclude, prevent","facilitate, permit","The general forestalled the attack from the south through a bold offensive on the western front, thus diverting the enemy."
Preclude,to prevent something from happening or someone from doing something; to make something impossible,"forestall, avert, prevent, obviate","facilitate, assist, encourage, permit, aid, abet","At 84, John feels his age precludes much travelling."
Prelude,An action or event serving as an introduction to something more important,"introduction, beginning, commencement",finale,The changes are seen as a prelude to wide-ranging reforms.
dilate,"to become or to make something larger, wider, or more open","expand, enlarge, stretch, swell, widen, extend, broaden","shrink, narrow, constrict, contract, compress",The doctor game me eye drops that made my pupils dilate.
vilify,to say or write unpleasant things about someone or something so that other people will have a low opinion of them,"malign, slander, smear, revile, libel, defame, blacken","praise, compliment",He was vilified in the press for is comments
Slovenly,"careless, untidy or dirty in appearance or habits","disorganized, messy, sloppy","careful, tidy, dapper, dashing, neat",The writer with his long beard and uncut hair appeared slovenly; his behavior was also sloppish
Sullen,"bad-tempered and not speaking; either on a particular occasion or because it is part of your character
dark and unpleasant(sky or weather)","grumpy, upset, gloomy, brooding, churlish","happy, cheerful, bright","His hopes were dashed when she refused his proposal. He was so upset, he remained sullen and sulky for the rest of the week."
Disabuse,dismiss a wrong notion or to free from fallacy,"dismiss, exonerate, clarify, eradicate, free, expiate","implicate, abuse, accuse","He knew he had done no wrong and though all evidence was against him, he vowed to disabuse the jury of their impressions.
The teacher disabused the student of the belief that he could prove his innocence to the headmaster, the latter firm in his thinking to the contrary."
Usurp,to take someone’s position and/or power without having the right to do this,"seize, expropriate, dethrone",relinquish,The knights were on a rampage to usurp the throne for the good will of the people.
Privation,Deprival of the basic necessities or comforts of life,"deficiency, shortage, poverty, scarcity","excess, plenty, sufficiency, abundance","Many affluent persons enjoying luxuries today at one time underwent great privation, working hard to make a meager living."
Sanctimonious,giving the impression that you feel you are better and more moral that other people,"pretentious, self-righteous, hypocritical","genuine, poius","A sanctimonious devotee of any faith cannot be taken at face value, because excessive display is hypothetical."
Propinquity,The property of being close together or adjacent,"closeness, contiguity, nearness","segregation, separation","Propinquity to a criminal by its very nearness, exposes one to the dangers the later faces."
Apocryphal,of questionable authenticity,"doubtful, inaccurate, counterfeit, spurious, fake","true, authentic, real",People are only too willing to believe apocryphal news which has no basis or proof.
Repertoire,"The entire range of skills, aptitudes or devices used in a particular field or occupation",inventory,"ambiguity, disarrayed","With his deep sense for engines and repertoire of tools, Mario is a super mechanic who has perfect solutions to any problem that you may have with your motor bike."
Sordid,morally degraded,"seamy, seedy, squalid, sleazy",reputable,"Without stopping with just suggesting a rape, some TV serial go into the sordid details of the of the actual act."
Gambol,"To run or jump in a lively way
To skip or jump about in a playful manner","cavort frolic, romp, frisk, rollick, sport","mope, sulk, pout","The kids were told not to gambol in the classroom.
While the cows were grazing in the harvested fields, their young calves were gamboling all around."
Rail,complain or protest strongly and persistently about,"berate, castigate, criticize","compliment, flatter, praise",John complained to the head master that his class teacher railed at him often without no good reason and called him a ‘scoundrel’.
Romp,"to play about in a rough and energetic manner
to move about in a brisk or playful manner","gambol, frisk, frolic, rollick","tread, stride",The kinds had a lot of fun at the pool-side party. They ran around bushes and romped in the lawn.
Prolific,producing a great number or amount of something,"ample, profuse, plentiful",scarce,"The prolific writer’s last novel.
the movie star had a prolific following among women."
Dichotomy,Growth or development in two different directions,"separation, division, split, polarity, disjunction, gulf","agreement, sameness, similarity, likeness","While humanity has made rich progress in technology and in the scale of economic activities, the dichotomy between the haves and have-nots is still a worrying factor.
Edmund’s article explores a classic dichotomy that exists between a consumer and a merchant from the point of view of small business.
One cannot miss the dichotomy between Ryan, the politician and Ryan, the moralist. The contradiction is pretty obvious."
Gainsay,"To deny or disagree with (something)
to show or say that (something) is not true","disprove, disagree, deny, contradict, disaffirm, disclaim","prove, confirm, attest","Though innocent, even he could not gainsay the persuasiveness of his accuser’s argument."
Rabid,"having  very strong feelings about something and acting in an unaccepted way
violent or extreme","zealous, intolerant, narrow-minded, extreme, bigoted, fanatical, irrational, intemperate",passionless,Police arrived in force to quell the riot set off by rabid soccer fans.
Vitiate,"reduce the value of
impair the quality of
impair the legality of","spoil, corrupt, debase, perverse, void","validate, assist, aid",Her efforts at keeping the table spotlessly clean for the dinner were vitiated by someone spilling sauce on the cloth.
Florid,"having too much decoration or detail
red","ruddy, rubicund, ornate, embellish, reddish, ostentatious, very elaborate","undecorated, natural, inelaborate, unornate","florid style of writing.
The candidate’s florid speech made everyone vote for him.
His florid lifestyle led to his downfall."
Senile,"having or showing the weaknesses of disease of old age, especially loss of mental faculties
characteristic of or caused by old age.","ancient, decrepit, aged","alert, well","For a very long time I could barely distinguish one coin from another, and would spend countless hours at cash registers painstakingly rifling through the contents of my wallet like a senile woman.
My grandfather, though cheerful and bubbly, has become senile with age. He needs to be reminded even about his basic needs such as food and medicines."
Anodyne,One person/thing possessed of power to alleviate pain,"analgesic, painkiller","analeptic, stimulant",The soothsayer was known across the country as being an anodyne for the great relief he could give all.
Fidelity,"the quality of being loyal to someone or something
the quality of being faithful to your husband, wife, or partner by not having a sexual relationship with anyone else
the quality of being accurate","loyalty, attachment, adhesion, troth, piety, commitment","falseness, disloyalty, faithlessness, infidelity","fidelity of you principles.
The fidelity of the translation to the original text
I had to promise fidelity to the Queen."
Forfeit,to lose something or have something taken away from you because you have done something wrong,"lose, yield, sacrifice, surrender","gain, victory, win",The soccer team had to forfeit the game because their players kept yelling at the referees.
Foreshadow,to be a sign of something that will happen in the future,"presage, foretell, portend, augur",result,"David’s sudden death was foreshadowed by health scares.
His sudden death had been foreshadowed by earlier health scares."
Repugnant,making you feel strong dislike or disgust,"offensive, obnoxious, distasteful, objectionable","agreeable, attractive",The entertainment-based rhetoric with which audience of television channels are fed is repugnant to the sensitive.
Lithe,"moving or bending easily, in a way that is elegant","pliable, flexible, supple","inflexible, stiffened, rigid",gymnasts must be quite lithe to do all of their routines.
Precocious,having developed particular abilities and ways of behaving at a much younger age than usual,"developed, advanced",underdeveloped,From an early age she displayed a precocious talent for music.
Veneer,"an attractive appearance that covers or disguises reality or someone’s true nature or feelings
a thin decorative covering of fine wood applied to a coarser wood or other material; a layer of wood used to make plywood","facade, mask, exterior, semblance","reality, interior",Every nation has no option but to maintain a military force; underneath the veneer of civilization are the realities of the war.
Anneal,Strengthen or harden,"freeze, toughen, amalgamate, coagulate, condense","liquefy, soften","The process of alternate heating and cooling which a metal undergoes, known as annealing, tempers it to withstand heavy pressures."
Malady,"a serious problem
any disease","illness, sickness","soundness, fitness","With e-commerce in full boom and money in the hands of its youth, a malady of consumerism ahs hit the nation.
When there is a long history of conflict between communities in a society, often an isolated untoward incident can trigger a malady of hate and violence."
Sedentary,"in which you spend a lot of time sitting down
that stay and live in the same place or area",motionless,"active, mobile, activated, moving",The man broke his leg and became sedentary because he wasn’t able to walk around
Quip,to make a witty and clever remark,"jibe, chaff","hackneyed, cliche","He quipped, “The best way to lie is to tell the truth…a carefully edited truth”"
Vogue,The prevailing fashion or style at a particular time.,"rage, trend, prevalent","antiquated, obsolete, outmoded","Following the second world war, movies based on war themes was in vogue. Produced invariable by the victors, the plot usually involved an act of daredevilry against the Nazis."
Staunch,"very loyal and committed in attitude
strong or firm construction","loyal, ardent, generous","disloyal, undependable","Joey, a staunch follower of Buddhism, decided to settle down in a monastery in Tibet."
Raucous,sounding loud and rough,"strident, discordant","subdued, soft, calm","She woke up when the raucous group entered the room, she is not used to such harsh voices and rowdy behavior."
Salvation,"a way of protecting somebody from danger, disaster, loss, etc.","rescue, escape",ruination,"They say a dip in these holy waters is a sure way to attain salvation, so thousands of people come here from all over the country, to bathe in the river to wash away their past sins and pray for freedom from the cycles of birth.
Over the years, tourism has been the salvation of that little coastal town, saving it from coming to harm every time the unpredictable economy or climate threatened to destroy it."
Schism,"strong disagreement within an organization, especially a religious one, that makes its members divide into separate groups","discord, disaccord, division","concord, accord",Schism between leading members of the ruling party threatens the party’s win in the forthcoming elections.
Proffer,to present with something to someone (for acceptance),"extend, offer",extract,He took her proffered hand and shook it.
Prerogative,"the exclusive right and power to command, decide, rule or judge
distinctive excellence","privilege, authority",obligation,"Its your prerogative to live in this country and work, or to leave it and seek employment abroad."
Baleful,"Harmful or malignant in intent or effect, sorrowful","menacing, sorrowful, malevolent, harmful","favorable, harmless, benevolent","When he began his usual unsavoury jokes, his wife gave him a baleful look that was enough to cut him short."
Unmitigated,"not lessened
absolute (especially of something that is unpleasant with little chance of change or relief)","absolute, categorical, complete",indefinite,"Little or no rains indicate unmitigated disaster for the paddy crops.
The coronavirus pandemic has not only been a public health disaster, it has also been an unmitigated financial catastrophe with businesses and stock markets crashing.
Democracy does not mean unmitigated majority rule, but recognition and cultivation of minorities.
Every year, uncontrolled forest fires cause unmitigated loss to trees, vegetation, and wild life in different parts of world."
Abase,"to lower in rank, office , prestige, or esteem","humiliate, lower, degrade","elevate, boost, upgrade",She refused to abase herself by kneeling down on the ground before him.
Burnish,to make shiny or lustrous especially by rubbing,"polish, make shiny","dull, tarnish","The maid burnished the brass lamps till they reflected the lights.
When the floor is dry, apply a coat of concentrated Star and burnish when dry."
Contrite,grieving and penitent for sin or shortcoming,"penitent, sorry","indifferent, unrepentant",The judge was not moved by her contrite tears when he passed his sentence.
Rancorous,something that is characterized by bitterness or resentment,"hateful, malicious, vindictive, spiteful, acrimonious","friendly, agreeable, harmonious, amicable","That the debate turned rancorous was totally unexpected, since it was a meeting of seasoned politicians"
Burgeon,to begin to grow or develop rapidly,"bud, blossom, succeed, develop, grow, effloresce, bloom, thrive, flourish, prosper, bloom, increase","shrivel, shrink, die","One often wonders if the constant exposure to advertisements and campaigns in the media is burgeoning a materialistic culture.
The town burgeoned into a city."
Grouse,complain,"whine, grumble, gripe, grouch","praise, compliment, flattery",He had a strong aversion towards hanging around people with lots of grouses.
Arraign,"to bring someone to court in order to accuse them of a crime
To state the charges against someone who is accused of a crime in a formal procedure before a judge","summon, charge, inculpate, blame, incriminate","exonerate, discharge, free, absolve, acquit","The repressive government used expansive libel laws to arraign journalists who criticized them.
Alon with those who had committed the terror attack, even whose who had helped the terrorists were also arraigned for the act."
Divest,"to get rid of something
to take something away from someone or something
to remove clothes","remove, sieze, dismantle, spoil","invest, honour, cover","When found guilty of misdemeanor, one is divested of not only powers, but also self-respect."
Denigrate,Belittle or disparage the character of; defame,"malign, besmirch, decry","praise, compliment, boost, flatter, honour","In power politics, one tries to denigrate an opponent by listing out his shortcomings."
Commensurate,"matching something in size, importance, quality, etc.","corresponding, proportionate, appropriate, consistent, adequate, sufficient","inappropriate, divergent, inconsistent, insufficient, incommensurate, inadequate, disproportionate","If a fine is in proportion to the seriousness of the offense, so also should the reward be commensurate with the value of the deed!
Salary will be commensurate with experience.
Asin was given a job that was commensurate with her abilities and experience."
Confound,"to confuse and surprise someone
to prove someone or something wrong
to defeat an enemy","astound, astonish, amaze, baffle, confuse","clarify, explain, enlighten",Some examination questions aim to confound the test taker with massive amounts of data which totally puzzle him.
Coalesce,"to come together to form one larger group, substance, etc.","unify, integrate, conjugate, combine, conjoin, consolidate, amalgamate, blend, join, unite","separate, split, divide","The boy made several drops of mercury from the broken thermometer coalesce to make a big blob.
the rebel units coalesced into one army to fight the invaders."
Conundrum,"a riddle, usually with a pun in its answer, that is asked for fun
a confusing or a difficult question or problem","puzzle, mystery, closed book, secret, enigma","frankness, known, understanding, solution","Classical writers in Sanskrit are known to offer great spiritual guidance through conundrums based on simple worldly truths.
I think this is a tricky conundrum that only experts can answer."
Acerbic,"Harsh, stinging, hurting","astringent, acid, acrid, vitriolic, caustic, virulent, blistering, unpleasant, venomous, bitter","flattering, kind, soothing, sugary, sweet, pleasant","It was advisable to stay away form her, as she was known for her acerbic comments, that could break up even the most close knit families.
Acerbic reactions against an apparently trivial report prove how opinions can get very sour and harsh."
Concede,"Admit or agree that something is true or logical after first denying or resisting it
surrender or yield a possession, right, or privilege
Admit defeat in a match or contest","admit, accept, acknowledge","dispute, disapprove, deny","Being aware of the fact that strong evidences are against him, he conceded his involvement in the crime."
Dissolution,"disintegration; total destruction, complete disappearance, loss of entire regions","separation, division, partition, divorce","reconciliation, unification, consolidation",Constant civil wars and strife led to the dissolution of the state as a single entity.
Ebbulient,"full of confidence, energy, and good humor","enthusiastic, excited, buoyant","apathetic, sedate, somber, disinterested","As the days of the promised trip to Africa approached, the boy became ebullient with thrilling anticipations."
Torpor,a state of physical or mental inactivity; lethargy,"stupor, lassitude, lethargy, faintness, oblivion","consciousness, awareness, conisance","After a fight across the globe, one is in such a torpor as to be unable to keep wakeful."
Abscond,"To escape from a place that you are not allowed to leave without permission
To leave secretly and take with you something, especially money, that does not belong to you","leave, vanish, disappear, escape","appear, remain",It was natural that the investigators would suspect the two employees of the embassy who were found to be absconding ever since news of espionage broke on the national news channel.
Aberrant,Deviating from the normal or correct way,"abnormal, strange, freakish, amonalous","standard, typical, normal, natural",An emotionally disturbed child is prone to be aberrant in her responses even to casual question.
delineate,"to describe, draw, or explain something in detail","describe, render, picture, show, trace, represent, delimit, portray, image, express, specify, define, limn, depict","conceal, undrawn, obscure, undepicted, undelineated","A few strokes of the artist’s brush can delineate a storm on canvas, while the words of the teacher delineate the civilization of the past.
The relationship between Church and State was delineated in a formal agreement."
Distend,Expand radially (applied to tubular objects),"increase, swell, dilate, expand, extend, inflate, enlarge","shrink, contract, compress, constrict","The car driver requested the mechanic to reduce the air pressure as the tires had distended quite a bit.
Though the professor appeared calm and spoke placatingly, one could tell he was angry from the way the veins distended on his forehead."
Arrogate,"to take or claim a right or a privilege, in a way that is not fair or legal","appropriate, seize, confiscate","reject, refuse, abstain","Upon assuming complete power, the dictatorial general went against all norms to arrogate the right to alter the laws and pass bills which help him rule with and iron hand."
Disingenuous,Not innocent; influenced by sophistication,"foxy, sophisticated, cunning, dishonest, insidious, artful","candid, honest, straightforward, naive, open, sincere",The disingenuous girl quickly got many admirers to take over doing all her chores.
Accretion,The process of growth or enlargement,"raise, increment, accumulation, accesssion","shrinkage, scattering, disbursement",With this obsession for accretion of riches he built up his wealth but ruined his home life.
Harangue,"A long, loud and serious tirade using angry speech","tirade, declamation","panegyric, eulogy","With some bosses, the weekly meeting is only a harangue of long bitter complaints about the inefficiency of the staff."
Tirade,long angry speech of criticism or accusations,"abuse, dispute, ranting, harangue, revilement, diatribe","commendation, adulation, approval, praise, acclamation, Plaudit",The mistress went into a tirade against her maid with charges and abuses.
Gouge,"Scoop out material, make concave, remove material from mass","dent, squeeze, scoop, dig, extort, rack","pack, fill",The hunger during a famine is so painful that those affected tend to gouge the entire contents of the serving bowl at one go.
Accede,"To agree to a request, proposal, etc.
To achieve a high position, especially to become king or queen","assent, comply, consent, accept, endorse, admit","condemn, protest, oppose, refuse, deny",He was extremely charming and hence found it very easy to get people to accede to his requests.
Coda,Final passage of a piece of music,"summation, conclusion","prologue, preface, introduction, prelude","After the grandeur of the earlier part of the composition, the coda at the end seemed quite unimpressed."
Aver,State firmly and positively,"verify, assert, swear, allege, say","negate, veto, nullify, deny",On repeated cross examination the witness averred that he spoke only the truth.
Abdicate,Give up,"surrender, abandon, forgo, waive, disclaim, resign","maintain, hold, retain, claim",Prince Rama abdicated the throne to honor his father’s word.
Eclectic,"(of a substance) composed of elements drawn from various sources
(of a person) given to selecting what seems best from various styles, doctrines, ideas etc.","broad, liberal, multiform, universal","narrow, specialized, particular, limited","The chronicler made an eclectic collection of family photographs, picking them from as early as the nineteenth century."
Compendium,brief but full account; summary,"guide, synopsis, abstraction","amplification, expansion, elaboration","Charles Lamb’s “Tales from Shakespeare”, a compendium of the original plays is almost equally charming."
Concillatory,In a mood to patch up,"pacify, compromising, placating, appeasing, yielding, assuaging, clam, flexible","uncompromising, belligerent, aggressive, antagonistic","Her mother advised her to speak to her friend when she was in a conciliatory mood, so that she would at least listen to her side of the story then.
His conciliatory words had no effect on the angry baron, and he was forced to leave the place forever."
Dissonance,"a combination of musical notes that do not sound pleasant together
lack of agreement","controversion, inconsistency, disparity, conflict","harmony, consonance, concord","Dissonance among or between partners in any field of human activity, should be avoided and harmony established for successful growth."
Endemic,Prevalent among a specific group of people or in a specific area or country; peculiar to a particular region or people,"localised, indigenous, regional","epidemic, wide-spread","Ailments clearly traced to heredity, such as diabetes or asthama, are endemic and do not spread across people or places."
Dissemble,hide the real nature of,"simulate, affect, conceal, disguise","uncover, show, reveal, expose","Although quite excited by the offer made to him, the young man tried to dissemble his feelings and appear calm."
Abeyance,A state of suspension or temporary inaction,"deferral, postponement, quiescence, dormancy, cessation","continuation, operation, action, revival","As the amendment appeared very controversial, it was kept in abeyance."
Craven,Being cowardly or mean spirited,"wimpy, cowardly, timid, pusillanimous, scared","bold, strong, courageous, daring","Being craven, the bank manager willingly handed over all the keys to the robber."
Contentious,Inclined or showing an inclination to dispute or disagree,"quarrelsome, disputative, controversial, argumentative, disputatitious","passive, calm, friendly, agreeable","Contentious by nature, he failed to establish a suitable atmosphere for negotiations to take place.
It was difficult to conduct the meeting in a harmonious manner as the new employee was extremely contentious and looked for reasons to argue."
Apprise,Give information or notice to ,"Enlighten, disclose, advise, familiarise",Hide,Enough civic awareness should be inculcated in children to make them apprise the authorities when they see an accident.
Apposite,Strikingly appropriate and relevant,"apt, relevant, proper, suitable, pertinent","inappropriate, unsuitable, irrelevant, incorrect","William Pitt, thought oratorical in his parliamentary addresses, nevertheless made apposite uses of his words which could not be bettered."
Vitriolic,full of anger and hatred,"bitter, acrimonious,","pleasant, kind",The newspaper launched a vitriolic attack on the president.
Buttress,to support or give strength to somebody/something,"column, anchor, abutment, pillar, reliance","debilitate, weaken, abandon, undermine, hinder","After the wall collapsed, the construction company agreed to buttress the wall.
To prevent the ancient wall from collapsing, the architect decided to buttress it using bricks to make it aesthetically appealing."
Circumspect,"thinking very carefully about something before doing it, because there may be risks involved","chary, alert, cautious, wary, gingerly, careful","careless, heedless, unwary, incautious","He was very circumspect in his financial affairs.
He had a reputation of being extremely circumspect in difficult circumstances."
Abate,to become less strong; to make something less strong,"reduce, decline, weaken, subside, dwindle",,It is necessary to let the rain abate before starting to trek in mountainous regions.
Approbation,"approval
praise conveying approval of something","permission, support, consent, admiration, recognition","condemnation, criticism, disapprobation","The approbation received from the chairman of the board on his new business initiatives convinced the CEO that he was on the right track.
The approbation received by Bhutan on its initiatives towards sustainable environment has received worldwide approbation."
Windfall,"Great good fortune, mostly financial","boom, bonanza",debacle,"The inheritance for which he was the old man’s sole nominee, was quite a windfall for the orphan boy."
Complaisant,ready to accept other people’s actions and opinions and to do what others people want,"biddable, submissive, polite, compliant",unwilling,"The complaisant attender won the admiration of many but raised suspicion in the mid of the inspector, who wondered what he was trying to cover up.
The girl at the sales counter was helpful and complaisant to the needs of the customers.
So much attention was hardly called for; she guessed from the man’s complaisant nature he wanted some favour from her."
Cardinal,serving as an essential component;,"key, primal, central, fundamental","trivial, inconsequential, immaterial","Compassion is a cardinal virtue in any human, and exploitation a cardinal vice."
Egress,(astronomy) the reappearance of a celestial body after an eclipse,"exit, emergence","ingress, entry, entrance",The egress of the sun after a solar eclipse is treated as an occasion for thanksgiving among Hindus.
