Word,Meaning,Usage,gujarati
Brusquely,"in a blunt, direct manner","Not one social pleasantries, the Chief of Staff would brusquely ask his subordinates for anything he wanted, even coffee.",
Tact,consideration in dealing with others and avoiding giving offense,"In a tremendous display of tact, Shelly was able to maintain a strong friendship with Marcia, even though Marcia’s husband, Frank, confessed to finding Shelly more attractive than Marcia.",વ્યવહાર-કુશળતા
Saturnine,morose or gloomy,"Deprived of sunlight, humans become saturnine; that’s why in very northerly territories people are encouraged to sit under an extremely powerful lamp, lest they become morose.",ઉદાસ
supercilious,haughty and disdainful: looking down on others,"Nelly felt the Quiz Bowl director acted superciliously towards the underclassmen; really, she fumed, must he act so preternaturally omniscient each time he intones some obscure fact-as though everybody knows that Mt. Aconcagua is the highest peak in South America.",
Cow,to intimidate,Do not be cowed by a 3000-word vocabulary list: turn that list into a deck of flashcards!,
Conciliate,to make a peace with,"His opponents believed his gesture to be conciliatory, yet as soon as they put down their weapons, he unsheathed a hidden sword.",સમાધાન કરવું
impregnable,immune to attack; incapable of being tampered with,"As a child, Amy would build pillow castles and pretend they were impregnable fortresses.",અભેદ્ય
Foible,a behavioral attribute that is distinctive and peculiar to an individual,"When their new roommate sat staring at an oak tree for an hour, Marcia thought it indicated a mental problem, but Jeff assured her it was a harmless foible.",નજીવું અપલક્ષણ કે ચારિત્ર્યનું કોઈ ક્ષમ્ય દૂષણ
Taxing,use to the limit; exhaust,The hike to the summit of Mt. Whitney was so taxing that I could barely speak or stand up.,
Glean,collect information bit by bit,"Herb has given us no formal statement about his background, but from various hints, I have gleaned that he grew up in difficult circumstances.",વેરાયેલું એકઠું કરવું
Behoove,to be one’s duty or obligation,"The teacher looked down at the student and said, “it would behoove you to be in class on time and complete your homework, so that you don’t repeat freshman English for a third straight year”.",ને માટે આવશ્યક હોવું
Clemency,leniency and compassion shown toward offenders by a person or agency charged with administering justice,"In the final moments of the trial, during his closing speech, Philips was nearly begging the judge for clemency.",દયાભાવ
Humdrum,dull and lacking excitement,"Having grown up in a humdrum suburb, Jacob relished life in New York City after moving.",નીરસ
Forthright,characterized by directness in manner or speech; without subtlety or evasion,"I did not expect the insurance agent to give us any straight answers, but I was pleasantly surprised by how forthright he was.",સ્પષ્ટવક્તા
Tribulation,"something, especially an event, that causes difficulty and suffering","As of 2013, nearly 1.5 million Syrians have fled their country hoping to escape the tribulation of a civil war tearing their country to pieces.",વિપત્તિ
Piquant,having an agreeably pungent taste,"The chef, with a mere flick of the salt shaker, turned the bland tomato soup into a piquant meal.",તીખું તમતમતું
Rile,"Cause annoyance in; disturb, especially by minor irritations","Dan is usually calm and balanced, but it takes only one intense glare from Sabrina to rile him.",ચીડવવું
Uncanny,suggesting the operation of supernatural influences; surpassing the ordinary or normal,"Reggie has an uncanny ability to connect with animals: feral cats will readily approach him, and sometimes even wild birds will land on his finger.",
Evenhanded,without partiality,Teachers often have trouble being evenhanded to all of their varied students.,
Consecrate,to make holy or set apart for a high purpose,"At the church of Notre Dame in France, the new High Altar was consecrated in 1182.",પવિત્ર કરવું
Cavalier,given to haughty disregard of others,Percy dismissed the issue with a cavalier wave of his hand.,
Wanton,"Without check or limitation; showing no moral restraints to one’s anger, desire, or appetites","Due to wanton behavior and crude language, the drunk man was thrown out of the bar and asked to never return.",
Finagle,achieve something by means of trickery or devious methods,Steven was able to finagle one of the last seats on the train by convincing the conductor that his torn stub was actually a valid ticket.,
incence,make furious,"When Herb bought football tickets for a game on the day of their wedding anniversary, Jill was incensed.",
Foolhardy,marked by defiant disregard for danger or consequences,"The police regularly face dangerous situations, so for a police officer not to wear his bullet-proof vest is foolhardy.",મૂર્ખ
Incumbent,necessary (for someone) as a duty or responsibility,"Middle managers at times make important decisions, but real responsibility for the financial well-being of the corporation is ultimately incumbent on the CEO.",અનિવાર્ય
Champion,to fight for a cause,Martin Luther King Jr. championed civil rights fiercely throughout his short life.,
Morph,To undergo dramatic change in a seamless and barely noticeable fashion,The earnestness of the daytime talk shows of the 1970’s has morphed into something far more sensational and vulgar: today guests actually stand up and threaten to take swings at one another.,
Snub,refuse to acknowledge; reject outright and bluntly,"Wheeler was completely qualified for the committee, but the board snubbed him, choosing an obviously lesser qualified.",
Decimation,destroying or killing a large part of the population,The decimation after atomic bombs were dropped on Hiroshima and Nagasaki is incomprehensible.,સત્યાનાશ
Amply,more that is adequate,The boat was amply supplied for its year at sea-no man would go hungry or thirsty.,પુષ્કળ
Chivalrous,being attentive to women like an ideal knight,"Medieval tales are full of stories of chivalry, in which a young knight must commit deeds of heroism to win the hand of a fair maiden.",પરાક્રમી
Malodorous,having an unpleasant smell,Some thermally active fountains spew sulfur fumes-the air around them is sometimes so malodorous that many have to plug their noses.,ખરાબ વાસવાળું
Abysmal,extremely bad,Coach Ramsey took his newest player off the field after watching a few painful minutes of her abysmal performance.,
Qualm,uneasiness about the fitness of an action,"While he could articulate no clear reason why Harker’s plan would fail, he nevertheless felt qualms about committing any resources to it.",
Dispatch,"the property of being prompt and efficient (n)
dispose of rapidly and without delay and efficiently (v)","She finished her thesis with dispatch, amazing her advisors who couldn’t believe she had written 60 scholarly pages so quickly.
As soon as the angry peasants stormed the castle, they caught the king and swiftly dispatched him.",
Besiege,"harass, as with questions or requests; cause to feel distressed or worried","After discovering a priceless artifact in her backyard, Jane was besieged by phone calls, emails, and reporters all trying to but, hold, or see the rare piece of history.",
Paradoxical,seemingly contradictory but nonetheless possibly true,"That light could be both a particle and wave seems paradoxical, but nonetheless, it s true.",વિરોધાભાસી
Dilapidated,In terrible condition,The main house has been restored but the gazebo is still dilapidated and unusable.,"જર્જરિત, ખંડિયેર હાલતમાં"
Aphorism,a short instructive saying about general truth,"Nietzsche was known for using aphorisms, sometimes encapsulating a complex philosophical thought in a mere sentence.",કહેવત
Miscreant,a person who breaks the law,"""Come back you miscreant!” yelled the woman who just had her purse stolen.","દુષ્કૃત્ય, બદમાશ"
Sordid,involving ignoble actions and motives; arousing moral distaste and contempt; foul and run-down and repulsive,"The nightly news simply announced that the senator had had an affair, but the tabloid published all the sordid details of the interaction.",
Inkling,a slight suggesting or vague understanding,"Lynne speaks four Romance languages, but she doesn’t have an inkling about how East Asian languages are structured.",સંકેત
Staid,characterized by dignity and propriety,"Frank came from a staid environment, so he was shocked that his college roommate sold narcotics.",
Perquisite,a right reserved exclusively by a particular group or person (especially a hereditary or official right),"Even as the dishwasher at the French restaurant, Josh quickly learned that he had the perquisite of being able to eat terrific food for half the price diners would pay.",અનુલાભ
