Word,Meaning,Usage,hindi/gujarati
Fleece,to deceive,Many people have been fleeced by Internet scams and never received their money back.,https://www.shabdkosh.com/dictionary/gujarati-english/%E0%AA%B2%E0%AB%82%E0%AA%9F%E0%AA%B5%E0%AB%81%E0%AA%82/%E0%AA%B2%E0%AB%82%E0%AA%9F%E0%AA%B5%E0%AB%81%E0%AA%82-meaning-in-english
Virago,an ill-tempered or violent woman,Poor Billy was the victim of the virago’s invective-she railed at him for a good 30-minutes about how he is the scum of the earth for speaking loudly on his cellphone in.,"કજિયાખોર સ્ત્રી, ગાળાગળી કરનાર સ્ત્રી"
Cadaverous,emaciated; gaunt,Some actors take challenging roles in which they have to lose so much weight that the appear cadaverous.,"માંદલું, મડદા જેવું, દુર્બળ"
Ferret,to search for something persistently,"Ever the resourceful lexicographer, Fenton was able to ferret out the word origin of highly obscure word.",ખોળી કાઢનારું
Aboveboard,open and honest,"The mayor, despite his avuncular face plastered about the city, was hardly aboveboard - some concluded that it was his ingratiating smile that allowed him to engage in corrupt behavior and get away with it.", કાયદેસર અને પ્રામાણિક રીતે
Prescience,the power to foresee the future,Baxter’s warnings about investing in technology stocks seemed like an act of prescience after the whole market declined segnificantly.,પૂર્વજ્ઞાન
Glut,"an excessive supply (n)
supply with an excess of (v)","The Internet offers such a glut of news related stories that many find it difficult to know which story to read first.
In the middle of economic crises, hiring managers find their inboxes glutted with resumes.","અતિશયતા, રેલમછેલ"
Gossamer,characterized by unusual lightness and delicacy,"The gossamer wings of a butterfly, which allow it to fly, are also a curse, so delicate they are often damaged.",
Chortle,"to chuckle, laugh merrily, often in a breathy, muffled way","Walking into the cafe, I could hear happy, chortling people and smell the rich aroma of roasted coffee beans.",ખોંખારાથી ગાલમાં હસવું
Superfluous,"serving no useful purpose
more than is needed, desired, or required","How can we hope to stay open if we don’t eliminate all superfluous spending, like catered meetings and free acupuncture Tuesday?
The third paragraph in your essay is superfluous and can be deleted.",અનાવશ્યક
Culpability,a state of guilt,"Since John had left his banana peel at the top of the stairwell, he accepted culpability for Martha’s broken leg.",દોષ
Perfidy,an act of deliberate betrayal; a breach of trust,"Sure, he was the best salesman in the company; but Michael had abused the trust of the firm, sharing product secrets with a competitor, and for such perfidy he was terminated.",વિશ્વાસઘાત
Predilection,a strong liking,"Monte had a predilection for the fine things in life: Cuban cigars, 200 dollars bottles of wine, and trips to the French Riviera.","અભિરુચિ, પૂર્વસ્નેહ, મમતા, પક્ષપાત"
Mawkish,"overly sentimental to the point that it is disgusting, Maudlin","The film was incredibly mawkish, introducing highly likeable characters only to have them succumb to a devastating illness by the end of the movies.",
Gall,"the trait of being rude and impertinent
the feeling of deep and bitter anger and ill will","The speeding car had the gall to switch five lanes at once, run through a red light, and then cut off a police car before finally coming to a stop in from of the sea of flashing red lights.
In an act of gall, Leah sent compromising photos of her ex-boyfriend to all his co-workers and professional contacts.","આક્રોશ, કનડવું"
Vociferous,"Conspicuously and offensively loud, given to vehement outcry","In giving Marcia a particular vociferous response, Paul caused people at every other table in the restaurant to turn around and look at them angrily.","અવાજવાળું, ઘોંઘાટવાળું"
Subsume,"contain or include
consider (an instance of something) as part of a general rule or principle","The rogue wave quickly subsumed the pier and boardwalk, destroying everything in it’s path.
Don Quixote of La Mancha subsumes all other modern novels, demonstrating modern literary devices and predating even the idea of a postmodern, metanarrative.",
Languid,not inclined towards physical exertion or effort; slow and relaxed,"As the sun beat down and temperature climbed higher, we spent a languid week lying around the house.","સુસ્ત, મંદ, જોમવિહોણું"
Spurious,plausible but false,"When listening to a politician speak, it is hard to distinguish the spurious claims from the authentic ones.","બનાવટી, નકલી, ભ્રામક"
Heredic,a person who holds unorthodox opinions in any field (not merely religion),"Though everybody at the gym told Mikey to do cardio before weights, Mikey was a heretic and always did the reverse.","વિધર્મી, નાસ્તિક"
Circumvent,clearly find a way out of one’s duties or obligations,One way of circumventing the GRE is to apply to a grad school that does not require GRE scores.,ટાળવું
Haughty,having or showing arrogant superiority to and disdain of those one views as unworthy,The haughty manager did not believe that any of his subordinates could ever have an insight as brilliant as his.,"ઘમંડી, અભિમાની"
guileless,free of deceit,"At first I thought my niece was guileless, but I then found myself buying her ice cream every time we passed a shop.",નિષ્કપટ
Vehement,marked by extreme intensity of emotions or convictions,"While other employees responded to the bad news in a measured way, Andrew responded in a vehement manner, tipping over his desk and shouting at the top of his lungs.",ઝનૂની
Quotidian,found in the ordinary course of events,"Phil gets so involved thinking about Aristotle’s argument that he totally forgets quotidian concerns, such as exercising and eating regularly.",રોજનું
Disaffected,discontented as toward authority,"After watching his superior take rations from the soldiers, he quickly became disaffected and rebelled.","બેવફા, "
Contrive,"to pull off a plan or scheme, usually through skill or trickery","Despite a low GPA, he contrived to get into college, going so far as to write his own glowing letters of recommendation.",યુક્તિ કે હિકમત લડાવવી
Insidious,working in a subtle but destructive way,"Plaque is insidious: we cannot see it, but each day it eats away at our enamel, causing cavities and other dental problems.",પ્રપંચી
Jingoism,fanatical patriotism,North Korea maintains intense control over its population through a combination of jingoism and cult of personality.,
Contingent,"a gathering of persons representative of some larger group (n)
dependent on (usually used with upon) (a)","A small contingent of those loyal to the king have gathered around the castle to defend it.
Whether the former world champions can win again this year is contingent upon none of its star players getting injured.","પ્રતિનિધિમંડળ, "
incorrigible,impervious to correction by punishment,Tom Sawyer seems like an incorrigible youth until Huck Finn enters the novel; even Sawyer can’t match his fierce individual spirit.,સુધારી ન શકાય તેવું
Admonitory,serving to warn; expressing reproof or reproach especially as corrective,"At the assembly, the high school vice-principal gave the students an admonitory, warning them of the many risks and dangers of prom night.","ઠપકારૂપ, ઉપદેશાત્મક "
Myopic,lacking foresight or imagination,The company ultimately went out of business because the myopic managers couldn’t predict the changes in their industry.,"ટૂંકી નજરવાળું, અલ્પદૃષ્ટિ"
Espouse,to adopt or support an idea or cause,"As a college student, Charlie espoused Marxism, growing his beard out and railing against the evils of the free-market.",અપનાવવું
Temperance,the trait of avoiding excesses,Welles wasn’t known for his temperance-he usually ate enough for two and drank enough for three.,મધ્યમસર
Forthcoming,"available when required or as promised
at ease in talking to others","The President announced that the senators were about to reach a compromise, and that he was eager to read the forthcoming details of the bill.
As a husband, Larry was not forthcoming: if Jill didn’t demand to know details, Larry would never share them with her.","આગામી, માહિતી આપનારું"
Petulant,easily irritated or annoyed,"Although the three year old was often described as mature for his age, he was petulant and whiny whenever his father forgot to remove the crust from his sandwiches.",ચીડિયું
Bumbling,"lacking physical movement skills, especially with the hands","Within a week of starting, the bumbling new waiter was unceremoniously fired.",
Provincial,characteristic of a limited perspective; not fashionable or sophisticated,"Maggie’s enthusiasm about her high school teams seemed provincial to her college classmates, all of whom were following a nationally ranked college team.",પ્રાંતીય
Expond,add details or explanation; clarify the meaning; state in depth,"The CEO refused to expound on the decision to merge our department with another one, and so I quit.",વિસ્તૃત કરો
Constituent,"a citizen who is represented in a government by officials for whom he or she votes
an abstract part of something","The mayor’s constituents are no longer happy with her performance and plan to vote for another candidate in the upcoming election.
The constituents of the metal alloy are nickel, copper, and tin.",", ઘટક"
Hegemony,dominance over a certain area,"Until the Spanish Armada was defeated in 1587, Spain had hegemony over the seas, controlling waters stretching as far as the Americas.",આધિપત્ય
precipitous,done with very great haste and without due deliberation,"Instead of calling his financial advisor, Harold acted precipitously buying 4,000 shares of the latest “hot” stock, only to find out that the company had history of inflating its year end numbers.",
Winsome,"charming in a childlike or naive way, cherubic","She was winsome by nature, and many people were drawn to this free and playful spirit.",આકર્ષક
Ravenous,"extremely hungry, devouring or craving food in great quantities","John didn’t eat much at all during the week he had the flu, so now that he is regaining his health, it’s not surprising that he has a ravenous appetite.",ખૂબ ભૂખ્યું
Subversive,In opposite to an established system or institution,The ruling political party has begun a campaign to shut down subversive websites that it deems as a threat to “national safety”.,પરિવર્તનવાદી
Haphazard,marked by great carelessness; dependent upon or characterized by chance,"Many golf courses are designed with great care, but the greens on the country golf course seem entirely haphazard.",આડેધડ
Brazen,unrestrained by convention or propriety,Their large donation to the local police department gave the drug cartel the brazen confidence to do their business out in open.,"બેશરમ, નિર્લજ્જ"
Repudiate,reject as untrue or unfounded,"Many in the public believed the rumors of a UFO crash outside town, so the chief of police did everything he could to repudiate the rumors.",નકારવું
Dilatory,wasting time,Lawyers use dilatory tactics so that it takes years before the case is actually decided.,
Duress,compulsory force or threat,The witness said he signed the contract under duress and argued that the court should cancel the agreement.,દબાણ
Contrition,the feeling or remorse or guilt that comes from doing something bad,Those who show contrition during their prison terms-especially when under review by a parole board-often get shortened sentences.,પસ્તાવો
Diseminate,cause to become widely known,"Before the effects of anesthesia were disseminated, patients had to experience the full pain of a surgery.",ફેલાવો
Flux,a state of uncertainty about what should be done (usually following some important event),"Ever since Elvira resigned as the head of marketing, everything about our sales strategy has been in state of flux.",
Posit,assume as fact,"Initially, Einstein posited a repulsive force to balance Gravity, but then rejected that idea as a blunder",
Esoteric,confined to and understandable by only an enlightened inner circle,"Map collecting is an esoteric hobby to most, but to geography geeks it is a highly enjoyable pastime.",ખાનગી
Harried,troubled persistently especially with petty annoyance,"With a team of new hires to train, Martha was constantly harried with little questions and could not focus on her projects.",હેરાન
