Word,Meaning,Usage,Gujarati
Juggernaut,a force that cannot be stopped,"Napoleon was considered a juggernaut until he decided to invade Russia in winter; after which, his once indomitable army was decimated by cola and famine.",
Execrate,to curse and hiss at,"Though the new sitcom did decently in the ratings, Nelson railed against the show, saying that it was nothing more that an execrable pastiche of tired cliches and canned laughter.",
Remonstrate,to make objections while pleading,"The mothers of the kidnapped victims remonstrated to the rogue government to release their children, claiming that the detention violated human rights.",
Blinkered,to have a limited outlook or understanding,"In gambling, the blinkered addict is easily influenced by past successes and/or past failures, forgetting that the outcome of any one game is independent of the games that were played in the past.",
Phantasmagorical,"illusive, unreal","Those suffering from malaria fall into feverish sleep, their world a whirligig of phantasmagoria; if they recover, they are unsure of what actually took place and what was simply a product of their febrile imaginations.",
Malapropism,the confusion of a word with another word that sounds similar,"Whenever I looked glum, my mother would offer to share “an amusing antidote” with me -  an endearing malapropism of “anecdote” that never failed to cheer me up.",
Apotheosis,exaltation to divine status; the highest point of development,"As difficult as it is to imaging, the apotheosis of Mark Zuckerberg’s career, many believe, is yet to come.",
Gerry mander,to manipulate voting districts in order to favor a particular political party,"Years ago, savvy politicians had gerrymandered the city center to ensure their re-election.",
Palimpsest,something that has been changed numerous times but on which traces of former iteration can still be seen,"The downtown was a palimpsest of the city’s checkered past: a new Starbucks had opened up next to an abandoned, shuttered building, and a freshly asphalted road was inches away from a pothole large enough to swallow a small dog.",
Parvenu,"a person who has suddenly become wealthy, but not socially accepted as part of higher class",The theater was full of  parvenus who each thought that they were surrounded by true aristrocrats.,
Sententious,"to be moralizing, usually in a pompous sense","The old man, casting his nose up in the air at the group of adolescents, intoned sententiously, “youth is wasted on the young”.",
Imbroglio,a confusing and potentially embarrassing situation,"The chef cook-off featured one gourmand who had the unfortunate distinction of mixing the wrong broths, creating a n imbroglio that diners would not soon forget.",
Jejune,"dull; lacking flavor
immature, childish","Although many top chefs have secured culinary foam’s popularity in haute cuisine, Waters criticizes it for being jejune and unfilling.
Her boss further cemented his reputation for being jejune after throwing a fit when the water cooler wasn’t refilled.",
Jaundiced,to be biased against due to envy or prejudice,"Shelly was jaundiced towards Olivia; though the two had once been best friends, Olivia had become class president, prom queen, and, to make matters worse, the girlfriend of the one boy Shelly liked.",
Fell,terribly evil,"For fans of the Harry Potter series, the fell Lord Voldemort, who terrorized poor Harry for seven lengthy installments, has finally been vanquished by the forces of good-unless, that is, JK Rowling decided to come out of.",
Tendentious,likely to lean towards a controversial view,"Because political mudslinging has become a staple of the 24-hour media cycle, most of us, despite protestations to the contrary, are tendentious on many of today’s pressing issues.",
Picayune,trifling or petty (a person),"English teachers are notorious for being picayune; however, the English language is so nuanced and sophisticated that often such teachers are not being contrary but are only adhering to the rules.",
Limpid,having clarity in terms of expression,Her limpid prose made even the most recondite subjects accessible to all.,
Bilious,irritable; always angry,"Rex was bilious all morning, and his face would only take on a look of contentedness when he’s had his morning cup of coffee.",
Hedge,to limit or qualify a statement; to avoid making a direct statement,"When asked why he had decided to buy millions of shares at the very moment the tech company’s stock soared, the CEO hedged, mentioning something vague about gut instinct.",
Arriviste,a person who has recently reached a position of power; a social climber,The city center was aflutter with arrivistes who tried to outdo one another with their ostentatious sports cars and chic evening dress.,
Excoriate,to criticize very harshly,"Entrusted with the prototype to his company’s latest smartphone, Larry, during a late night karaoke bout, let the prototype slip into the hands of a rival company-the next day Larry was excoriated, and then fired.",
Anemic,lacking energy and vigor,"After three straight shows, the lead actress gave an anemic performance the fourth night, barely speaking loudly enough for those in the back rows to hear.",
Punctilious,marked by precise accordance with details,The colonel was so punctilious about enforcing regulations that men feel compelled to polish even the soles of their shoes.,
Provident,careful in regard to your own interests; providing carefully for the future,"In a move that hardly could be described as provident, Bert spent his entire savings on a luxurious cruise, knowing that other bills would come due a couple months later.",
Litany,any long and tedious account of something,"Mr. Rogers spoke to a Senate committee and did not give a litany of reasons to keep funding the program, but instead, appealed to the basic human decency of all present.",
Derelict,"(of a person) not doing one’s duties(a)
(of a building) abandoned","The teacher was derelict in her duties because she hadn’t graded a single student paper in three weeks.
At one time the waterfront factories were busy and productive, but now that the economy has collapsed and the factories are all closed, derelict will be torn down.",
Anodyne,"something that soothes or relieves pain(n)
inoffensive(a)","Muzak, which is a played in department stores, is intended to be an anodyne, but is often so cheesy and over-the-top that customers become irritated.
Willbur enjoyed a spicy Mexican breakfast, but Jill preferred a far more anodyne meal in the mornings.",
Gaffe,a socially awkward or tactless act,"In a famous gaffe, Vice President Quayle attempted to correct the spelling of a grade student, only to find that the child was correct.",
Unforthcoming,"uncooperative, not willing to give up information","The teacher demanded to know who broke the window while he was out of the room, but the students understandably were unforthcoming.",
Quail,"draw back, as with fear or pain","Craig always claimed to be a fearless outdoorsman, but when the thunderstorm engulfed the valley, he quailed at the thought of leaving the safety of his cabin.",
Cede,relinquish possession or control over,"Eventually, all parents must cede control of their growing children’s educations and allow their offspring some autonomy.",
Illustrious,widely known and esteemed,Einstein was possibly the most illustrious scientist in recent history.,
Epiphany,a sudden revelation or moment of insight,Gary one day had an epiphany that he was a people person; he promptly quit his factory job and began working as a salesman.,
Flummox,be a mystery or bewildering to,Mary’s behavior completely flummoxes me: I never have any idea what her motivations might be.,
Plucky,marked by courage and determination,"Some scouts initially doubted Pedroia because of his short stature, but he is plucky player, surprising everyone with his boundless energy and fierce determination.",
Approbatory,expressing praise or approval,"Although it might not be her best work, Hunter’s new novel has received generally approbatory reviews.",
Maunder,"wander aimlessly
speak (about unimportant matters) rapidly and incessantly","Max liked to maunder down by the seaside and pick up whatever sea shells he would stumble upon.
After drinking two espressos each, the animated couple would maunder loudly, annoying the other patrons in the coffee shop.",
Bowdlerize,edit by omitting or modifying parts considered indelicate,"To receive an R rating, the entire movie was bowdlerized because it contained so much violence and grotesque subject matter.",
Hagiographic,Excessively flattering toward someone’s life or work,"Most accounts of Tiger Woods’s life were hagiographic, until, his affairs made headlines.",
Insouciance,lack of concern,"Surprisingly, Hank had become a high-powered CEO; his high school friends remembered him as “Hanky Panky”, who shrugged off each failed class with insouciance.",
Duplicity,"deceitfulness, pretending to want one thing but interested in something else",A life espionage is one of duplicity: an agent must pretend to be totally different person that who she or he actually is.,
Semblance,an outward or token appearance or form that is deliberately misleading,"While the banker maintained a semblance of respectability in public, those who knew him well were familiar with his many crimes.",
Portentous,ominously prophetic,"When the captain and more than half the officers were sick on the very first night of the voyage, many of the passengers felt this was portentous, but the rest of the voyage continued without any problems.",
Prognostication,a statement made about the future,"When the Senator was asked about where the negotiations would lead, he said that any guess he could make would be an unreliable prognostication.",
Probity,"integrity, strong moral principles","The ideal politician would have the probity to lead, but reality gravely falls short of the ideal of morally upright leaders.",
Impute,attribute (responsibility or fault) to something,He imputed his subpar performance on the test to a combination of stress and poor sleep.,
Enthrall,hold spellbound,"She was so enthralled by the movie that she never heard people screaming, “Fire, Fire!” in the neighboring theater.",
Redoubtable,inspiring fear or awe,"On television basketball players don’t look that tall, but when you stand in front of a seven-foot tall NBA player, he is truly redoubtable.",
Enjoin,give instructions to or direct somebody to do something with authority,The government agency enjoined the chemical company to clean up the hazardous dump it had created over the years.,
Recapitulation,a summary (think of recap),Every point of the professors lesson was so clear that the students felt his concluding recapitulation was not necessary.,
Solecism,a socially awkward or tactless act,Mother Anna was always on guard against any solecism from her children and scolded them immediately if any of them talked out of place in public.,
Mordant,"biting and caustic in thought, manner, or style","While Phil frequently made mordant remarks about company policy overall, he always was considerably gentler in discussing any person in particular.",
